user_id,ip_address,country,device_type,login_success,login_frequency,is_attack,hour_of_day,day_of_week,risk_score
employee61948,10.165.42.222,CA,Tablet-iOS,1,11,0,12,3,0
user37948,10.107.22.189,KR,Desktop-Windows,1,15,0,19,2,15
admin_prod,132.80.160.174,CN,Server,0,452,1,4,0,100
user1167,10.132.127.242,KR,Mobile-iOS,1,4,0,0,4,15
user66899,10.215.4.159,ZA,Desktop-Windows,1,19,0,20,5,0
guest67596,90.92.243.245,NL,Mobile-Android,1,4,0,20,5,0
guest64447,10.243.92.59,IN,Mobile-iOS,1,13,0,12,3,0
contractor93159,10.102.119.253,GB,Desktop-Windows,1,18,0,8,2,0
admin_dev,189.89.157.19,GB,Desktop-Windows,0,295,1,7,2,60
contractor45425,146.41.163.56,GB,Desktop-Windows,1,14,0,11,5,0
contractor86630,10.244.86.196,RU,Desktop-Windows,1,6,0,0,1,15
guest19127,10.230.4.245,GB,Desktop-Windows,1,5,0,14,4,0
admin_prod,192.76.165.94,CN,Server,0,263,1,18,1,85
user0783,198.6.37.249,ES,Mobile-Android,0,108,1,1,1,60
user8175,10.204.143.17,US,Mobile-iOS,1,13,0,3,1,15
guest65404,10.141.59.10,KR,Mobile-Android,1,20,0,19,3,15
employee19235,112.158.255.189,DE,Desktop-Mac,1,7,0,21,2,0
employee6534,96.236.83.104,CN,Desktop-Windows,0,3,0,22,6,35
contractor85613,10.190.150.110,MX,Mobile-Android,1,17,0,12,1,0
user15617,10.122.226.188,FR,Mobile-Android,1,11,0,14,3,0
user0410,200.80.96.137,JP,Desktop-Linux,0,173,1,5,0,75
user98179,10.12.78.245,CA,Mobile-Android,1,16,0,17,0,0
admin_prod,216.181.196.20,CA,Mobile-iOS,0,293,1,21,0,60
contractor3308,10.59.157.67,MX,Desktop-Windows,1,1,0,18,6,0
employee75105,10.121.70.30,MX,Tablet-iOS,1,17,0,5,0,15
employee21629,10.103.150.202,SE,Mobile-Android,1,5,0,13,3,0
user60269,10.29.199.228,BR,Desktop-Mac,1,8,0,11,4,0
guest50577,10.187.90.57,KR,Mobile-iOS,1,3,0,7,5,15
user6767,10.146.0.191,NL,Desktop-Mac,1,10,0,21,5,0
contractor54366,10.197.252.36,KR,Desktop-Windows,1,13,0,3,3,30
guest88876,10.96.94.179,CN,Desktop-Mac,1,19,0,9,0,15
employee63067,10.75.252.183,CA,Desktop-Windows,1,5,0,13,5,0
admin_dev,50.146.145.148,CA,Desktop-Linux,0,3,1,18,5,20
admin_prod,200.7.127.198,US,Desktop-Linux,0,3,1,11,2,20
user54643,10.21.88.148,NL,Desktop-Windows,1,10,0,4,3,15
contractor50907,10.236.6.85,ES,Desktop-Windows,1,7,0,14,3,0
employee5904,79.200.9.123,DE,Desktop-Windows,1,4,0,7,3,0
employee59289,68.169.183.44,JP,Desktop-Mac,1,11,0,7,3,0
guest34506,10.236.198.27,IN,Mobile-iOS,1,2,0,9,6,0
employee92597,10.35.96.85,SG,Desktop-Windows,1,4,0,8,4,0
guest7954,86.166.100.162,CN,Desktop-Windows,1,19,0,23,5,15
contractor30881,10.130.62.179,IN,Desktop-Windows,1,17,0,12,0,0
contractor28489,10.205.39.216,NL,Mobile-Android,1,2,0,16,1,0
guest73811,10.153.169.249,MX,Tablet-Android,1,4,0,22,2,0
guest48425,116.165.218.172,FR,Mobile-iOS,0,6,0,14,1,20
employee17332,171.171.104.94,SE,Tablet-iOS,1,1,0,23,4,0
user52556,129.187.248.11,CA,Desktop-Linux,1,15,0,19,5,0
employee49197,10.108.161.188,ZA,Desktop-Mac,1,3,0,11,5,0
user72084,200.59.86.46,SG,Desktop-Windows,1,11,0,10,6,0
employee38488,10.186.163.172,BR,Mobile-iOS,1,5,0,12,1,0
user59417,10.96.176.66,US,Tablet-Android,1,4,0,1,1,0
guest97672,10.17.107.170,ES,Desktop-Mac,1,16,0,6,2,15
user0439,195.36.41.121,CN,Desktop-Linux,0,4,1,23,2,35
employee47286,10.87.180.165,US,Desktop-Windows,1,16,0,19,0,0
guest49931,10.217.118.101,DE,Mobile-Android,1,14,0,11,5,0
employee1481,10.131.127.234,FR,Desktop-Windows,0,10,0,5,5,35
contractor84759,77.180.246.235,IT,Mobile-Android,1,4,0,12,5,0
employee71123,10.155.115.79,AU,Mobile-iOS,1,8,0,22,4,0
contractor32878,10.243.217.217,JP,Desktop-Mac,1,10,0,7,2,0
employee55649,10.186.168.48,IT,Mobile-iOS,1,15,0,23,3,0
user0374,215.166.233.247,ES,Server,0,476,1,22,6,70
admin_prod,82.239.98.78,DE,Server,0,4,1,20,2,30
employee88098,10.16.113.148,SE,Desktop-Windows,0,5,0,1,2,20
user55736,10.3.151.210,RU,Desktop-Mac,1,8,0,18,2,15
contractor80911,10.51.151.49,SE,Desktop-Mac,1,15,0,11,2,0
guest93394,10.240.164.13,IN,Mobile-iOS,1,19,0,5,0,15
user9887,53.172.213.209,GB,Mobile-Android,1,4,0,20,2,0
employee44595,10.244.4.52,AU,Mobile-Android,1,12,0,1,3,0
user43149,2.197.174.230,NL,Desktop-Windows,1,7,0,14,6,0
contractor20333,124.47.70.171,AU,Mobile-iOS,1,12,0,11,4,0
guest44460,4.140.101.114,US,Desktop-Linux,1,2,0,15,5,0
guest85671,10.129.165.207,AU,Desktop-Linux,1,11,0,5,0,15
employee82361,10.158.244.157,CA,Mobile-iOS,1,14,0,9,6,0
guest40150,10.54.220.105,SG,Tablet-Android,0,16,0,2,5,35
contractor21682,83.183.211.70,JP,Desktop-Mac,1,15,0,3,6,15
contractor71238,10.240.232.179,CN,Mobile-Android,1,2,0,15,1,15
employee13011,10.13.61.253,JP,Desktop-Windows,1,6,0,12,1,0
admin_123,198.69.125.141,CN,Desktop-Windows,0,5,1,23,3,35
guest38148,10.1.42.228,AU,Mobile-Android,1,6,0,20,1,0
guest85888,10.166.161.14,AU,Mobile-iOS,1,17,0,6,4,15
employee5429,56.36.154.224,SG,Desktop-Windows,1,14,0,17,3,0
contractor90035,10.2.158.24,IN,Desktop-Windows,1,12,0,6,6,15
user68690,171.233.60.150,ZA,Tablet-iOS,1,2,0,12,6,0
contractor65840,10.93.3.226,AR,Mobile-Android,1,17,0,19,3,0
employee12797,213.57.33.176,NL,Mobile-iOS,1,2,0,9,1,0
guest31516,215.103.212.25,AU,Mobile-iOS,1,18,0,0,1,0
guest4725,10.1.32.165,RU,Desktop-Mac,1,11,0,4,2,30
guest18913,10.95.154.51,GB,Desktop-Mac,1,9,0,17,0,0
guest45085,206.73.158.212,GB,Desktop-Windows,1,10,0,5,0,15
admin_123,198.173.26.99,RU,Desktop-Linux,0,3,1,10,3,35
user0904,198.154.171.7,NL,Server,0,155,1,21,4,70
user82282,176.54.253.67,SE,Mobile-iOS,1,8,0,10,3,0
admin_prod,7.37.31.180,MX,API-Client,0,5,1,13,6,30
contractor87493,167.123.26.47,US,Desktop-Mac,1,7,0,5,4,15
contractor88439,10.236.48.191,JP,Desktop-Windows,1,6,0,20,3,0
user0405,198.163.234.24,SG,API-Client,0,137,1,11,0,70
contractor45410,10.243.79.168,SG,Tablet-Android,0,18,0,18,3,20
user77552,10.127.32.87,CN,Desktop-Windows,1,11,0,0,3,15
contractor34349,10.110.35.195,NL,Tablet-Android,1,12,0,23,1,0
guest15156,10.104.27.188,MX,Desktop-Mac,1,14,0,1,4,0
user42032,10.207.97.28,IN,Desktop-Windows,0,6,0,15,6,20
user49811,135.183.32.134,DE,Desktop-Linux,1,16,0,2,6,15
contractor42001,10.44.233.66,FR,Desktop-Mac,1,8,0,12,2,0
contractor92081,10.85.152.84,ZA,Desktop-Linux,1,16,0,21,4,0
guest32255,10.70.171.173,US,Desktop-Mac,1,4,0,6,2,15
employee2848,10.126.218.94,BR,Desktop-Windows,1,17,0,13,4,0
employee20322,90.194.80.175,KR,Desktop-Mac,0,16,0,0,0,35
employee1487,10.235.229.165,ZA,Desktop-Mac,1,17,0,2,3,15
guest81033,10.73.227.132,KR,Desktop-Windows,1,5,0,9,4,15
employee2829,10.97.45.23,SE,Desktop-Windows,1,14,0,11,2,0
user99736,176.18.101.86,SE,Desktop-Mac,1,12,0,12,1,0
contractor19937,10.193.1.3,KR,Mobile-Android,1,14,0,5,4,30
guest69675,10.87.121.1,ZA,Mobile-Android,1,12,0,3,4,15
contractor69923,10.210.188.83,FR,Desktop-Linux,1,5,0,18,6,0
contractor73114,10.167.119.69,US,Mobile-Android,1,9,0,8,6,0
employee85454,10.49.140.168,SE,Mobile-Android,1,16,0,10,6,0
user8232,79.72.248.249,JP,Mobile-Android,1,11,0,17,5,0
employee97097,10.51.122.10,ZA,Tablet-iOS,1,5,0,10,4,0
user90854,152.3.64.37,ZA,Desktop-Mac,1,4,0,18,5,0
guest8202,10.173.242.114,FR,Desktop-Mac,1,17,0,7,3,0
guest48664,10.140.30.127,ZA,Desktop-Mac,1,11,0,5,0,15
admin_prod,196.254.169.34,IN,API-Client,0,264,1,4,4,85
user89100,94.36.171.86,NL,Desktop-Mac,1,6,0,1,6,0
guest10527,10.159.62.112,IN,Desktop-Windows,1,10,0,6,4,15
user64379,22.75.26.230,US,Desktop-Windows,1,19,0,2,0,15
user23538,10.88.46.125,SE,Desktop-Windows,1,14,0,14,5,0
guest54586,10.245.92.94,KR,Mobile-iOS,1,14,0,23,5,15
user85234,10.55.76.162,KR,Desktop-Linux,1,5,0,13,5,15
guest60002,10.83.104.207,IN,Desktop-Linux,1,7,0,3,3,15
employee31388,180.173.176.62,US,Tablet-iOS,1,5,0,23,2,0
user82489,14.17.28.77,BR,Desktop-Linux,1,7,0,1,1,0
admin_test,54.196.60.125,RU,Desktop-Linux,0,487,1,11,4,75
contractor27443,10.83.204.19,US,Desktop-Mac,1,12,0,12,4,0
contractor64795,10.110.96.9,SE,Desktop-Windows,1,8,0,7,6,0
contractor79772,26.86.82.210,US,Desktop-Windows,1,14,0,7,6,0
user0568,71.155.114.46,AR,Desktop-Linux,0,308,1,6,3,75
employee42245,10.67.140.131,MX,Desktop-Mac,1,7,0,21,2,0
user23407,84.186.72.157,SE,Tablet-Android,0,17,0,10,2,20
guest45077,10.65.176.250,BR,Mobile-iOS,1,10,0,12,0,0
user1174,10.7.189.238,DE,Tablet-iOS,1,19,0,2,0,15
employee50625,10.229.71.148,JP,Mobile-iOS,1,14,0,23,2,0
admin_test,45.146.95.96,CA,Desktop-Mac,0,231,1,10,5,60
admin_prod,105.152.198.155,NL,API-Client,0,127,1,7,0,70
admin_prod,131.78.222.35,FR,Desktop-Windows,0,5,1,9,1,20
employee11233,177.54.83.216,MX,Desktop-Mac,0,10,0,19,1,20
user6554,10.35.71.201,GB,Mobile-Android,1,15,0,6,1,15
user71031,23.182.236.82,AR,Desktop-Windows,1,6,0,6,4,15
admin_test,43.28.48.123,RU,Mobile-Android,0,120,1,20,6,75
user0403,214.175.28.244,CA,Desktop-Mac,0,468,1,15,2,60
guest80543,10.70.149.191,MX,Desktop-Linux,1,2,0,9,5,0
contractor48911,10.214.114.200,IN,Mobile-Android,1,15,0,13,1,0
employee53368,10.92.5.224,IN,Mobile-iOS,1,5,0,17,4,0
user0020,198.222.109.164,IT,Mobile-Android,0,368,1,11,4,60
contractor61751,10.202.197.98,US,Mobile-iOS,0,20,0,10,1,20
guest16579,10.212.252.50,SG,Desktop-Mac,1,15,0,11,6,0
contractor36213,76.87.225.143,JP,Mobile-Android,1,18,0,11,1,0
user56193,10.116.244.92,MX,Mobile-Android,1,4,0,22,1,0
user30890,215.77.34.101,ZA,Desktop-Windows,1,15,0,2,0,15
employee76099,10.44.107.36,SG,Tablet-iOS,1,20,0,8,6,0
admin_dev,192.222.146.102,SG,Desktop-Windows,0,1,1,7,2,20
employee49615,10.0.206.245,NL,Desktop-Windows,1,19,0,10,6,0
employee5404,10.179.69.143,CN,Mobile-Android,1,10,0,6,1,30
guest12889,170.95.82.108,JP,Desktop-Windows,1,4,0,21,6,0
contractor77953,10.121.125.121,NL,Desktop-Mac,1,18,0,2,6,15
admin_123,185.104.11.208,GB,API-Client,0,1,1,17,6,30
contractor40856,10.255.145.187,SG,Desktop-Mac,1,2,0,13,6,0
user45928,10.144.61.249,US,Mobile-iOS,1,14,0,18,1,0
admin_dev,174.120.95.181,CA,API-Client,0,1,1,20,5,30
guest17095,10.184.233.252,CA,Desktop-Linux,0,20,0,5,0,35
admin_prod,35.151.50.201,KR,Desktop-Linux,0,4,1,0,5,35
user59498,10.69.164.92,IT,Tablet-iOS,1,8,0,8,2,0
user0552,198.68.21.26,RU,Desktop-Linux,1,102,1,0,4,55
employee65137,115.131.153.36,BR,Desktop-Windows,1,7,0,5,1,15
guest50233,10.222.94.118,CA,Desktop-Windows,1,16,0,4,5,15
guest34793,10.15.216.78,US,Desktop-Mac,1,2,0,5,3,15
user0468,44.244.12.7,AR,Desktop-Windows,0,449,1,18,6,60
guest47404,10.24.143.92,IN,Desktop-Windows,1,7,0,10,4,0
guest71214,10.33.34.183,AR,Desktop-Mac,1,8,0,1,6,0
guest35095,72.186.135.246,CA,Desktop-Mac,1,13,0,1,3,0
guest6756,10.183.152.31,KR,Desktop-Linux,1,1,0,8,2,15
user91906,10.39.21.220,ES,Desktop-Linux,0,6,0,5,1,35
user26952,10.158.105.168,FR,Mobile-Android,1,8,0,10,5,0
user76838,44.2.177.138,SE,Mobile-iOS,1,7,0,23,0,0
employee33522,10.39.103.124,GB,Tablet-iOS,1,16,0,20,6,0
admin_prod,45.6.26.88,KR,Desktop-Linux,0,5,1,18,1,35
guest21283,10.16.186.195,ES,Desktop-Windows,1,20,0,6,4,15
user22082,10.29.126.28,US,Desktop-Mac,1,11,0,3,5,15
employee79374,10.83.34.43,AR,Mobile-iOS,1,19,0,3,5,15
contractor48481,10.32.40.174,BR,Desktop-Mac,1,14,0,12,5,0
contractor94460,10.128.217.19,SG,Desktop-Mac,1,20,0,5,5,15
user36168,10.85.111.64,IN,Mobile-iOS,1,14,0,3,6,15
employee56794,184.69.254.241,AU,Mobile-Android,1,16,0,7,4,0
user84983,10.195.75.208,BR,Desktop-Linux,1,5,0,17,1,0
user68515,2.236.75.215,IN,Mobile-Android,1,15,0,20,3,0
user4084,124.98.12.147,SG,Tablet-Android,1,16,0,18,1,0
contractor33466,10.157.213.16,JP,Desktop-Mac,1,9,0,23,0,0
contractor88959,10.37.156.148,AR,Desktop-Mac,1,6,0,7,6,0
guest8018,10.145.207.41,FR,Mobile-iOS,1,10,0,4,0,15
employee62259,157.249.29.254,KR,Desktop-Windows,1,6,0,17,4,15
user85716,51.204.209.123,RU,Tablet-Android,1,4,0,1,4,15
employee37627,10.6.155.63,FR,Mobile-Android,1,15,0,14,1,0
guest57823,135.212.122.246,RU,Desktop-Windows,1,15,0,23,5,15
user63084,10.254.33.11,KR,Mobile-iOS,1,20,0,15,0,15
contractor22391,10.109.4.105,SE,Desktop-Mac,1,15,0,1,4,0
guest93595,10.248.57.119,AU,Desktop-Windows,1,2,0,12,2,0
employee18615,10.228.197.241,AU,Desktop-Linux,1,8,0,9,6,0
employee39176,85.87.131.229,KR,Desktop-Mac,1,1,0,2,3,30
employee39495,10.217.9.220,SE,Desktop-Mac,1,5,0,0,5,0
contractor19902,10.149.241.232,IT,Tablet-Android,1,18,0,3,4,15
contractor92187,10.140.227.233,IT,Desktop-Windows,1,14,0,4,0,15
guest76338,10.188.187.3,ZA,Desktop-Windows,1,4,0,2,1,15
user64127,10.211.163.254,FR,Desktop-Mac,1,7,0,17,0,0
user54128,10.199.87.254,KR,Desktop-Windows,1,14,0,1,3,15
user74983,10.197.6.155,FR,Tablet-Android,1,11,0,7,3,0
contractor88258,10.12.178.76,CA,Desktop-Linux,1,9,0,12,3,0
employee61382,10.133.245.122,MX,Mobile-iOS,1,12,0,21,1,0
admin_dev,45.191.223.157,ES,Mobile-iOS,0,5,1,11,0,20
guest74408,170.82.196.95,CN,Mobile-Android,1,8,0,23,5,15
user43538,199.147.207.225,AU,Desktop-Mac,1,4,0,12,0,0
guest50162,210.166.216.147,AR,Tablet-iOS,1,8,0,8,3,0
user36985,10.239.34.110,JP,Mobile-Android,1,13,0,8,4,0
guest84174,10.43.83.37,RU,Mobile-iOS,1,19,0,12,3,15
guest86650,189.106.41.24,GB,Desktop-Mac,1,14,0,2,0,15
guest99791,10.186.243.10,CA,Desktop-Mac,1,17,0,3,6,15
guest83027,10.197.146.151,AR,Desktop-Windows,1,1,0,22,0,0
guest6378,10.43.166.149,GB,Desktop-Mac,1,6,0,2,6,15
guest82166,10.232.12.66,RU,Desktop-Windows,1,2,0,22,0,15
employee38109,221.70.233.103,IT,Desktop-Mac,1,5,0,10,6,0
admin_test,113.88.106.118,AR,Desktop-Linux,0,306,1,23,5,60
contractor32647,10.71.15.93,CA,Mobile-Android,1,14,0,12,0,0
admin_test,198.64.136.163,RU,Desktop-Windows,0,132,1,21,6,75
user65279,10.164.126.227,AU,Mobile-Android,1,12,0,16,6,0
user47751,39.90.116.103,ES,Tablet-iOS,1,18,0,1,3,0
contractor33177,10.138.94.76,DE,Tablet-Android,1,18,0,22,2,0
admin_dev,211.161.43.71,CN,Desktop-Windows,0,94,1,1,4,75
employee88632,10.24.104.210,ZA,Desktop-Windows,1,20,0,16,2,0
